index,add,coord,id,side,state,cnty,key1,block
86,"1401 EMMONS AVE, BROOKLYN, NY, 11235","-73.95409,40.583115",59097472,R,36,47,60800,3004
87,"1120 E 10TH ST, BROOKLYN, NY, 11230","-73.965614,40.621662",59089609,R,36,47,45400,2000
88,"2951 W 3RD ST, BROOKLYN, NY, 11224","-73.97131,40.57736",59090894,L,36,47,35602,1001
89,"2360 BENSON AVE, BROOKLYN, NY, 11214","-73.991745,40.5979",59088838,R,36,47,30200,1002
90,"211 72ND ST, BROOKLYN, NY, 11209","-74.02919,40.634052",59094148,L,36,47,6800,3001
92,"9115 5TH AVE, BROOKLYN, NY, 11209","-74.02882,40.61845",59087505,L,36,47,16000,3003
93,"1031 59TH ST, BROOKLYN, NY, 11219","-74.0038,40.63297",59094922,L,36,47,21400,2001
94,"1328 PUTNAM AVE, BROOKLYN, NY, 11221","-73.913155,40.69379",59083059,R,36,47,43500,2001
95,"1301 8TH AVE, BROOKLYN, NY, 11215","-73.98126,40.663296",59078263,L,36,47,16700,4001
96,"200 LINWOOD ST, BROOKLYN, NY, 11208","-73.88403,40.68114",59084425,R,36,47,117202,2003
97,"1001 E 45TH ST, BROOKLYN, NY, 11203","-73.93364,40.63698",59082096,L,36,47,83600,1003
98,"1001 E 45TH ST, BROOKLYN, NY, 11203","-73.93364,40.63698",59082096,L,36,47,83600,1003
99,"124 MONITOR ST, BROOKLYN, NY, 11222","-73.94231,40.72382",59076947,R,36,47,59100,2000
100,"7115 15TH AVE, BROOKLYN, NY, 11228","-74.00077,40.61981",59088018,L,36,47,19000,3004
101,"300 ADELPHI ST, BROOKLYN, NY, 11205","-73.97112,40.689392",642654358,R,36,47,18100,4001
102,"1077 REMSEN AVE, BROOKLYN, NY, 11236","-73.90898,40.642944",59086353,L,36,47,96400,1001
103,"1500 E 92ND ST, BROOKLYN, NY, 11236","-73.897995,40.63559",59086892,R,36,47,100800,1001
