_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
85848,36005022703,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,392,-0.10415076,0.021812603,-0.37768829,-0.053145844,Very Low,Moderate,Very Low,Very Low,6,52,4,6,Very Low,Low,Very Low,Very Low,7,27,13,11,Very Low,Low,Very Low,Very Low,7,27,11,9
85849,36005022703,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,618,-0.093177699,0.04308052,-0.18196946,-0.026893467,Very Low,High,Very Low,Very Low,8,74,17,18,Very Low,Moderate,Low,Low,10,59,27,25,Very Low,Moderate,Low,Low,11,55,26,24
85850,36005022800,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1500,-0.04971673,-0.007364324,-0.24043462,-0.034259953,Low,Low,Very Low,Very Low,25,27,11,13,Low,Very Low,Low,Very Low,26,8,22,20,Low,Very Low,Very Low,Very Low,26,8,20,19
85851,36005022800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1437,-0.039859127,0.027117407,-0.29803792,-0.036204506,Low,Moderate,Very Low,Very Low,31,57,8,12,Low,Low,Very Low,Very Low,29,35,17,19,Low,Low,Very Low,Very Low,29,34,16,18
85852,36005022901,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1390,-0.11357359,-0.014623426,-0.46735728,-0.068499565,Very Low,Low,Very Low,Very Low,4,22,2,3,Very Low,Very Low,Very Low,Very Low,4,6,7,5,Very Low,Very Low,Very Low,Very Low,4,6,6,4
85853,36005022901,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1989,-0.10232842,0.011562223,-0.45941007,-0.063545212,Very Low,Moderate,Very Low,Very Low,6,42,2,3,Very Low,Very Low,Very Low,Very Low,7,17,8,7,Very Low,Very Low,Very Low,Very Low,8,17,7,6
85854,36005022902,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1197,-0.075226799,0.00733015,-0.62180579,-0.079897635,Very Low,Low,Very Low,Very Low,14,38,1,1,Very Low,Very Low,Very Low,Very Low,16,14,2,2,Very Low,Very Low,Very Low,Very Low,16,14,2,2
85855,36005022902,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1086,-0.092126735,0.015652236,-0.36963916,-0.051535327,Very Low,Moderate,Very Low,Very Low,9,46,5,6,Very Low,Very Low,Very Low,Very Low,10,20,13,12,Very Low,Very Low,Very Low,Very Low,11,20,12,10
85856,36005023000,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,879,-0.062588386,0.012019083,-0.31972373,-0.042847522,Very Low,Moderate,Very Low,Very Low,19,43,7,9,Low,Very Low,Very Low,Very Low,21,17,16,16,Low,Very Low,Very Low,Very Low,21,17,14,15
85857,36005023000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,858,-0.030824266,0.039219294,-0.28586912,-0.032501835,Low,High,Very Low,Very Low,36,70,8,14,Low,Moderate,Very Low,Low,34,53,18,21,Low,Moderate,Very Low,Very Low,32,50,17,20
85858,36005023100,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,433,-0.1005597,-0.015000879,-0.50344455,-0.071300529,Very Low,Low,Very Low,Very Low,7,22,2,2,Very Low,Very Low,Very Low,Very Low,7,6,5,4,Very Low,Very Low,Very Low,Very Low,8,6,5,3
85859,36005023100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,382,-0.078124717,0.045045219,-0.69432056,-0.084643617,Very Low,High,Very Low,Very Low,13,76,1,1,Very Low,High,Very Low,Very Low,15,62,1,1,Very Low,Moderate,Very Low,Very Low,15,59,1,1
85860,36005023200,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,659,-0.057183862,-0.029655509,-0.28285074,-0.04239345,Low,Very Low,Very Low,Very Low,21,14,9,9,Low,Very Low,Very Low,Very Low,23,4,18,16,Low,Very Low,Very Low,Very Low,23,3,17,15
